sekolah_jalur;kuota
SMAN 24 BANDUNG - PRESTASI KEJUARAAN;18
SMAN 24 BANDUNG - PRESTASI RAPOR;48
SMAN 24 BANDUNG - ZONASI;132
SMAN 25 BANDUNG - ABK;0
SMAN 25 BANDUNG - KETM;62
SMAN 25 BANDUNG - KONDISI TERTENTU;17
SMAN 25 BANDUNG - PERPINDAHAN TUGAS ORTU / ANAK GURU;20
SMAN 25 BANDUNG - PRESTASI KEJUARAAN;20
SMAN 25 BANDUNG - PRESTASI RAPOR;79
SMAN 25 BANDUNG - ZONASI;198
SMAN 26 BANDUNG - ABK;0
SMAN 26 BANDUNG - KETM;44
SMAN 26 BANDUNG - KONDISI TERTENTU;15
SMAN 26 BANDUNG - PERPINDAHAN TUGAS ORTU / ANAK GURU;15
SMAN 26 BANDUNG - PRESTASI KEJUARAAN;30
SMAN 26 BANDUNG - PRESTASI RAPOR;44
SMAN 26 BANDUNG - ZONASI;149
SMAN 27 BANDUNG - ABK;1
SMAN 27 BANDUNG - KETM;75
SMAN 27 BANDUNG - KONDISI TERTENTU;10
SMAN 27 BANDUNG - PERPINDAHAN TUGAS ORTU / ANAK GURU;12
SMAN 27 BANDUNG - PRESTASI KEJUARAAN;49
SMAN 27 BANDUNG - PRESTASI RAPOR;50
SMAN 27 BANDUNG - ZONASI;200
SMAN 3 BANDUNG - ABK;2
SMAN 3 BANDUNG - KETM;43
SMAN 3 BANDUNG - KONDISI TERTENTU;22
SMAN 3 BANDUNG - PERPINDAHAN TUGAS ORTU / ANAK GURU;16
SMAN 3 BANDUNG - PRESTASI KEJUARAAN;16
SMAN 3 BANDUNG - PRESTASI RAPOR;66
SMAN 3 BANDUNG - ZONASI;165
SMAN 4 BANDUNG - ABK;2
SMAN 4 BANDUNG - KETM;48
SMAN 4 BANDUNG - KONDISI TERTENTU;16
SMAN 4 BANDUNG - PERPINDAHAN TUGAS ORTU / ANAK GURU;16
SMAN 4 BANDUNG - PRESTASI KEJUARAAN;33
SMAN 4 BANDUNG - PRESTASI RAPOR;50
SMAN 4 BANDUNG - ZONASI;165
SMAN 5 BANDUNG - ABK;0
SMAN 5 BANDUNG - KETM;51
SMAN 5 BANDUNG - KONDISI TERTENTU;17
SMAN 5 BANDUNG - PERPINDAHAN TUGAS ORTU / ANAK GURU;17
SMAN 5 BANDUNG - PRESTASI KEJUARAAN;21
SMAN 5 BANDUNG - PRESTASI RAPOR;64
SMAN 5 BANDUNG - ZONASI;170
SMAN 6 BANDUNG - ABK;0
SMAN 6 BANDUNG - KETM;58
SMAN 6 BANDUNG - KONDISI TERTENTU;8
SMAN 6 BANDUNG - PERPINDAHAN TUGAS ORTU / ANAK GURU;16
SMAN 6 BANDUNG - PRESTASI KEJUARAAN;24
SMAN 6 BANDUNG - PRESTASI RAPOR;57
SMAN 6 BANDUNG - ZONASI;165
SMAN 7 BANDUNG - ABK;0
SMAN 7 BANDUNG - KETM;65
SMAN 7 BANDUNG - KONDISI TERTENTU;4
SMAN 7 BANDUNG - PERPINDAHAN TUGAS ORTU / ANAK GURU;10
SMAN 7 BANDUNG - PRESTASI KEJUARAAN;15
SMAN 7 BANDUNG - PRESTASI RAPOR;66
SMAN 7 BANDUNG - ZONASI;166
SMAN 8 BANDUNG - ABK;5
SMAN 8 BANDUNG - KETM;45
SMAN 8 BANDUNG - KONDISI TERTENTU;16
SMAN 8 BANDUNG - PERPINDAHAN TUGAS ORTU / ANAK GURU;16
SMAN 8 BANDUNG - PRESTASI KEJUARAAN;33
SMAN 8 BANDUNG - PRESTASI RAPOR;50
SMAN 8 BANDUNG - ZONASI;165
SMAN 9 BANDUNG - ABK;0
SMAN 9 BANDUNG - KETM;36
SMAN 9 BANDUNG - KONDISI TERTENTU;11
SMAN 9 BANDUNG - PERPINDAHAN TUGAS ORTU / ANAK GURU;12
SMAN 9 BANDUNG - PRESTASI KEJUARAAN;30
SMAN 9 BANDUNG - PRESTASI RAPOR;30
SMAN 9 BANDUNG - ZONASI;119
